PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_705	chr18	22362735	22363038	+	0	NA	intron (Asxl3, intron 1 of 12)	-intron (Asxl3, intron 1 of 12)	17797	Asxl3	Asxl3	NM_001167777			Asxl3			NA
Interval_3237	chr18	83125661	83125959	+	0	NA	Intergenic	Intergenic	200074	4921531P14Rik	4921531P14Rik	NR_045361			4921531P14Rik			NA
Interval_1954	chr18	57430835	57431305	+	0	NA	Intergenic	Intergenic	25655	Gm19500	Gm19500	NR_152223			Gm19500			NA
Interval_3718	chr19	6226999	6227440	+	0	NA	TTS (Ppp2r5b)	-TTS (Ppp2r5b)	818	Gpha2	Gpha2	NM_130453			Gpha2			NA
Interval_1034	chr18	33950283	33950910	+	0	NA	intron (Epb41l4a, intron 2 of 23)	-intron (Epb41l4a, intron 2 of 23)	56610	Epb41l4a	Epb41l4a	NM_013512			Epb41l4a			NA
Interval_4666	chr19	28975187	28975620	+	0	NA	Intergenic	Intergenic	-11249	4430402I18Rik	4430402I18Rik	NM_001374153			4430402I18Rik			NA
Interval_5646	chr19	47463363	47463751	+	0	NA	intron (Sh3pxd2a, intron 1 of 14)	-intron (Sh3pxd2a, intron 1 of 13)	854	Sh3pxd2a	Sh3pxd2a	NM_001164717			Sh3pxd2a			NA
Interval_3137	chr18	81414936	81416123	+	0	NA	Intergenic	Intergenic	-428508	Sall3	Sall3	NM_001369133			Sall3			NA
Interval_2859	chr18	75807512	75808078	+	0	NA	Intergenic	Intergenic	-12383	Zbtb7c	Zbtb7c	NM_001357506			Zbtb7c			NA
Interval_4805	chr19	32132064	32132368	+	0	NA	intron (Sgms1, intron 7 of 9)	-intron (Sgms1, intron 7 of 9)	-29076	Asah2	Asah2	NM_018830			Asah2			NA
Interval_5967	chr19	55767251	55767480	+	0	NA	intron (Tcf7l2, intron 4 of 14)	-intron (Tcf7l2, intron 3 of 14)	25555	Tcf7l2	Tcf7l2	NM_001142921			Tcf7l2			NA
Interval_3822	chr19	7323374	7323679	+	0	NA	intron (Mark2, intron 1 of 17)	-intron (Mark2, intron 1 of 16)	18334	Mark2	Mark2	NM_001080388			Mark2			NA
Interval_936	chr18	31188790	31189131	+	0	NA	intron (Rit2, intron 3 of 4)	-intron (Rit2, intron 3 of 4)	128168	Rit2	Rit2	NM_009065			Rit2			NA
Interval_5049	chr19	37585390	37585914	+	0	NA	intron (Exoc6, intron 8 of 21)	-intron (Exoc6, intron 8 of 21)	35234	Exoc6	Exoc6	NM_175353			Exoc6			NA
Interval_2031	chr18	59792197	59792577	+	0	NA	Intergenic	Intergenic	212757	Mir6355	Mir6355	NR_105773			Mir6355			NA
Interval_5425	chr19	44849577	44849887	+	0	NA	Intergenic	Intergenic	-13794	1700039E22Rik	1700039E22Rik	NR_045315			1700039E22Rik			NA
Interval_3616	chr19	5180478	5180676	+	0	NA	intron (Pacs1, intron 1 of 23)	-intron (Pacs1, intron 2 of 24)	-62279	Klc2	Klc2	NM_001369360			Klc2			NA
Interval_914	chr18	30365353	30366133	+	0	NA	Intergenic	Intergenic	92878	Pik3c3	Pik3c3	NR_151699			Pik3c3			NA
Interval_2441	chr18	67222720	67223005	+	0	NA	exon (Gnal, exon 12 of 12)	-exon (Gnal, exon 12 of 12)	17503	Chmp1b	Chmp1b	NM_024190			Chmp1b			NA
Interval_1303	chr18	38296418	38297533	+	0	NA	exon (Rnf14, exon 1 of 10)	-exon (Rnf14, exon 1 of 10)	340	Rnf14	Rnf14	NM_001361267			Rnf14			NA
Interval_2214	chr18	62229943	62230167	+	0	NA	Intergenic	Intergenic	49955	Gm9949	Gm9949	NM_001013754			Gm9949			NA
Interval_23	chr18	3933874	3934122	+	0	NA	Intergenic	Intergenic	-231834	Lyzl1	Lyzl1	NM_026092			Lyzl1			NA
Interval_4480	chr19	24279670	24281444	+	0	NA	promoter-TSS (Fxn)	-promoter-TSS (Fxn)	33	Fxn	Fxn	NR_157400			Fxn			NA
Interval_3826	chr19	7374253	7374733	+	0	NA	intron (Spindoc, intron 2 of 4)	-intron (Spindoc, intron 2 of 5)	-8510	1700105P06Rik	1700105P06Rik	NR_045703			1700105P06Rik			NA
Interval_4923	chr19	34566301	34566760	+	0	NA	intron (Ifit2, intron 1 of 2)	-intron (Ifit2, intron 1 of 2)	15836	Ifit2	Ifit2	NM_001355262			Ifit2			NA
Interval_2165	chr18	61660152	61660390	+	0	NA	intron (Carmn, intron 1 of 4)	-intron (Carmn, intron 1 of 4)	5267	Carmn	Carmn	NR_045402			Carmn			NA
Interval_5444	chr19	45236125	45236913	+	0	NA	intron (Lbx1, intron 1 of 2)	-intron (Lbx1, intron 1 of 2)	322	Lbx1	Lbx1	NM_010691			Lbx1			NA
Interval_3874	chr19	8712903	8714237	+	0	NA	exon (Slc3a2, exon 2 of 10)	-exon (Slc3a2, exon 2 of 10)	327	Slc3a2	Slc3a2	NM_008577			Slc3a2			NA
Interval_4204	chr19	16526405	16526824	+	0	NA	intron (Gna14, intron 1 of 6)	-intron (Gna14, intron 1 of 6)	90947	Gna14	Gna14	NM_008137			Gna14			NA
Interval_5374	chr19	44407326	44408624	+	0	NA	promoter-TSS (Scd1)	-promoter-TSS (Scd1)	-266	Scd1	Scd1	NM_009127			Scd1			NA
Interval_5339	chr19	43896501	43896779	+	0	NA	intron (Dnmbp, intron 4 of 15)	-intron (Dnmbp, intron 4 of 15)	43558	Dnmbp	Dnmbp	NM_028029			Dnmbp			NA
Interval_2349	chr18	65300632	65301056	+	0	NA	intron (Alpk2, intron 5 of 12)	-intron (Alpk2, intron 5 of 12)	-51923	Mir122b	Mir122b	NR_162794			Mir122b			NA
Interval_5023	chr19	37225288	37225736	+	0	NA	Intergenic	Intergenic	17967	Marchf5	Marchf5	NM_027314			Marchf5			NA
Interval_161	chr18	6135298	6136839	+	0	NA	promoter-TSS (Arhgap12)	-promoter-TSS (Arhgap12)	30	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
Interval_1671	chr18	49550236	49551464	+	0	NA	Intergenic	Intergenic	27561	1700044K03Rik	1700044K03Rik	NR_033785			1700044K03Rik			NA
Interval_2275	chr18	64075738	64076061	+	0	NA	Intergenic	Intergenic	-178460	St8sia3	St8sia3	NM_009182			St8sia3			NA
Interval_2604	chr18	70035665	70036915	+	0	NA	intron (Rab27b, intron 2 of 6)	-intron (Rab27b, intron 2 of 6)	17298	Rab27b	Rab27b	NM_001082553			Rab27b			NA
Interval_4702	chr19	29469711	29470087	+	0	NA	intron (Pdcd1lg2, intron 5 of 5)	-intron (Pdcd1lg2, intron 5 of 5)	52088	A930007I19Rik	A930007I19Rik	NR_015567			A930007I19Rik			NA
Interval_232	chr18	8407334	8407588	+	0	NA	Intergenic	Intergenic	538264	Wac	Wac	NM_001360956			Wac			NA
Interval_4052	chr19	11624871	11625971	+	0	NA	Intergenic	Intergenic	-1702	Ms4a2	Ms4a2	NM_001276328			Ms4a2			NA
Interval_1151	chr18	35702527	35703464	+	0	NA	intron (Dnajc18, intron 1 of 7)	-intron (Dnajc18, intron 1 of 7)	149	Dnajc18	Dnajc18	NM_029669			Dnajc18			NA
Interval_6126	chr19	58125020	58125563	+	0	NA	intron (Atrnl1, intron 28 of 28)	-intron (Atrnl1, intron 28 of 28)	74124	Mir5623	Mir5623	NR_049196			Mir5623			NA
Interval_4323	chr19	19110949	19111729	+	0	NA	promoter-TSS (Rorb)	-promoter-TSS (Rorb)	-110222	Rorb	Rorb	NM_001289921			Rorb			NA
Interval_5799	chr19	53369250	53369957	+	0	NA	exon (Mxi1, exon 4 of 6)	-exon (Mxi1, exon 4 of 6)	21031	Smndc1	Smndc1	NM_172429			Smndc1			NA
Interval_2236	chr18	62971210	62971740	+	0	NA	Intergenic	Intergenic	-6441	Napg	Napg	NM_028017			Napg			NA
Interval_5568	chr19	46623048	46624635	+	0	NA	intron (Wbp1l, intron 1 of 3)	-intron (Wbp1l, intron 2 of 4)	24735	Wbp1l	Wbp1l	NM_001177812			Wbp1l			NA
Interval_2029	chr18	59421678	59422232	+	0	NA	Intergenic	Intergenic	-157675	Mir6355	Mir6355	NR_105773			Mir6355			NA
Interval_800	chr18	24477188	24478067	+	0	NA	exon (2700062C07Rik, exon 5 of 5)	-exon (2700062C07Rik, exon 5 of 5)	6756	2700062C07Rik	2700062C07Rik	NM_026529			2700062C07Rik			NA
Interval_3790	chr19	7067003	7068283	+	0	NA	intron (Macrod1, intron 3 of 10)	-intron (Macrod1, intron 3 of 10)	10875	Macrod1	Macrod1	NM_134147			Macrod1			NA
Interval_1348	chr18	38874794	38875430	+	0	NA	intron (Fgf1, intron 1 of 3)	-intron (Fgf1, intron 1 of 3)	-17344	Gm5820	Gm5820	NM_001033789			Gm5820			NA
Interval_5118	chr19	40226684	40227220	+	0	NA	intron (Pdlim1, intron 5 of 6)	-intron (Pdlim1, intron 5 of 6)	-39666	Cyp2c70	Cyp2c70	NM_145499			Cyp2c70			NA
Interval_757	chr18	23882020	23882392	+	0	NA	intron (Mapre2, intron 5 of 6)	-intron (Mapre2, intron 6 of 7)	-72482	Zfp397	Zfp397	NM_027007			Zfp397			NA
Interval_1390	chr18	39458783	39459082	+	0	NA	intron (Nr3c1, intron 2 of 8)	-intron (Nr3c1, intron 2 of 8)	30347	Nr3c1	Nr3c1	NM_001361212			Nr3c1			NA
Interval_862	chr18	25630183	25630856	+	0	NA	intron (Celf4, intron 2 of 13)	-intron (Celf4, intron 2 of 12)	123638	Celf4	Celf4	NM_001362278			Celf4			NA
Interval_532	chr18	15406763	15407319	+	0	NA	intron (Aqp4, intron 1 of 5)	-intron (Aqp4, intron 1 of 4)	-3283	Aqp4	Aqp4	NM_001308645			Aqp4			NA
Interval_2933	chr18	77372337	77372645	+	0	NA	intron (Loxhd1, intron 18 of 38)	-intron (Loxhd1, intron 18 of 38)	90833	Loxhd1	Loxhd1	NM_172834			Loxhd1			NA
Interval_4351	chr19	21135518	21135801	+	0	NA	Intergenic	Intergenic	30949	4930554I06Rik	4930554I06Rik	NR_126458			4930554I06Rik			NA
Interval_4257	chr19	17519981	17520199	+	0	NA	intron (Pcsk5, intron 21 of 37)	-intron (Pcsk5, intron 21 of 37)	126047	Rfk	Rfk	NM_019437			Rfk			NA
Interval_3374	chr18	86710494	86710838	+	0	NA	promoter-TSS (Cbln2)	-promoter-TSS (Cbln2)	-1399	Cbln2	Cbln2	NM_001361142			Cbln2			NA
Interval_623	chr18	20920686	20921127	+	0	NA	Intergenic	Intergenic	-23709	Rnf125	Rnf125	NM_001364973			Rnf125			NA
Interval_5248	chr19	42034680	42035028	+	0	NA	TTS (Ubtd1)	-TTS (Ubtd1)	-1173	Ankrd2	Ankrd2	NM_020033			Ankrd2			NA
Interval_93	chr18	4993682	4994947	+	0	NA	Intergenic	Intergenic	-52275	Svil	Svil	NM_153153			Svil			NA
Interval_836	chr18	25241515	25242131	+	0	NA	intron (AW554918, intron 5 of 10)	-intron (AW554918, intron 5 of 10)	72803	AW554918	AW554918	NM_001033532			AW554918			NA
Interval_6068	chr19	57252655	57253203	+	0	NA	intron (Ablim1, intron 1 of 20)	-intron (Ablim1, intron 1 of 20)	-21031	4930449E18Rik	4930449E18Rik	NR_045319			4930449E18Rik			NA
Interval_1715	chr18	50703852	50704073	+	0	NA	Intergenic	Intergenic	-135263	Pudp	Pudp	NM_026108			Pudp			NA
Interval_5479	chr19	45615296	45616125	+	0	NA	intron (Fbxw4, intron 5 of 8)	-intron (Fbxw4, intron 5 of 8)	44483	Fbxw4	Fbxw4	NM_013907			Fbxw4			NA
Interval_3890	chr19	8850405	8851021	+	0	NA	promoter-TSS (Lrrn4cl)	-promoter-TSS (Lrrn4cl)	-55	Lrrn4cl	Lrrn4cl	NM_001013019			Lrrn4cl			NA
Interval_5991	chr19	56029425	56030296	+	0	NA	Intergenic	Intergenic	-258052	Habp2	Habp2	NM_001329935			Habp2			NA
Interval_5104	chr19	38507551	38507799	+	0	NA	Intergenic	Intergenic	-16522	Plce1	Plce1	NM_019588			Plce1			NA
Interval_3758	chr19	6576902	6577829	+	0	NA	Intergenic	Intergenic	-34295	Slc22a12	Slc22a12	NM_009203			Slc22a12			NA
Interval_4526	chr19	25060197	25060669	+	0	NA	intron (Dock8, intron 2 of 47)	-intron (Dock8, intron 2 of 47)	60904	Dock8	Dock8	NM_028785			Dock8			NA
Interval_3897	chr19	8897501	8898641	+	0	NA	promoter-TSS (Ganab)	-promoter-TSS (Ganab)	14	Ganab	Ganab	NM_001293621			Ganab			NA
Interval_5489	chr19	45717579	45718306	+	0	NA	Intergenic	Intergenic	12616	4933429K18Rik	4933429K18Rik	NR_045307			4933429K18Rik			NA
Interval_3962	chr19	10221658	10222015	+	0	NA	intron (Myrf, intron 7 of 25)	-intron (Myrf, intron 7 of 25)	-17443	Fen1	Fen1	NM_007999			Fen1			NA
Interval_1153	chr18	35729987	35730806	+	0	NA	exon (1700066B19Rik, exon 2 of 2)	-exon (1700066B19Rik, exon 2 of 2)	3407	1700066B19Rik	1700066B19Rik	NM_001033168			1700066B19Rik			NA
Interval_3208	chr18	82849072	82849638	+	0	NA	Intergenic	Intergenic	-6542	4930445N18Rik	4930445N18Rik	NR_125720			4930445N18Rik			NA
Interval_2970	chr18	77869740	77870489	+	0	NA	intron (Pstpip2, intron 6 of 14)	-intron (Pstpip2, intron 6 of 14)	-68352	Epg5	Epg5	NM_001195633			Epg5			NA
Interval_2502	chr18	68062160	68062484	+	0	NA	intron (Ldlrad4, intron 1 of 5)	-intron (Ldlrad4, intron 1 of 5)	129149	Ldlrad4	Ldlrad4	NM_172631			Ldlrad4			NA
Interval_782	chr18	24175203	24176264	+	0	NA	Intergenic	Intergenic	-29611	Galnt1	Galnt1	NM_001160404			Galnt1			NA
Interval_663	chr18	21309750	21310143	+	0	NA	Intergenic	Intergenic	-9807	Garem1	Garem1	NM_001033445			Garem1			NA
Interval_120	chr18	5351243	5351610	+	0	NA	Intergenic	Intergenic	-16987	Zfp438	Zfp438	NM_178722			Zfp438			NA
Interval_4202	chr19	16510567	16511569	+	0	NA	intron (Gna14, intron 1 of 6)	-intron (Gna14, intron 1 of 6)	75401	Gna14	Gna14	NM_008137			Gna14			NA
Interval_3342	chr18	84903324	84903824	+	0	NA	Intergenic	Intergenic	-31451	Fbxo15	Fbxo15	NM_001367965			Fbxo15			NA
Interval_1394	chr18	39558480	39558786	+	0	NA	Intergenic	Intergenic	-69354	Nr3c1	Nr3c1	NM_001361212			Nr3c1			NA
Interval_1562	chr18	46389958	46390468	+	0	NA	Intergenic	Intergenic	75603	Mospd4	Mospd4	NR_045438			Mospd4			NA
Interval_3977	chr19	10304371	10305326	+	0	NA	promoter-TSS (Dagla)	-promoter-TSS (Dagla)	29	Dagla	Dagla	NM_198114			Dagla			NA
Interval_2875	chr18	76057204	76057717	+	0	NA	intron (Zbtb7c, intron 3 of 4)	-intron (Zbtb7c, intron 3 of 4)	41011	2900057B20Rik	2900057B20Rik	NR_045365			2900057B20Rik			NA
Interval_4654	chr19	28679442	28680353	+	0	NA	exon (Glis3, exon 1 of 10)	-exon (Glis3, exon 1 of 10)	180	Glis3	Glis3	NM_001305671			Glis3			NA
Interval_714	chr18	22687332	22687729	+	0	NA	Intergenic	Intergenic	342441	Asxl3	Asxl3	NM_001167777			Asxl3			NA
Interval_1383	chr18	39394417	39395317	+	0	NA	Intergenic	Intergenic	94412	Nr3c1	Nr3c1	NM_001361212			Nr3c1			NA
Interval_298	chr18	10393278	10393622	+	0	NA	intron (Greb1l, intron 1 of 32)	-intron (Greb1l, intron 1 of 32)	68271	Greb1l	Greb1l	NM_001083628			Greb1l			NA
Interval_3764	chr19	6829892	6830353	+	0	NA	promoter-TSS (Mir5046)	-promoter-TSS (Mir5046)	-178	Mir5046	Mir5046	NR_039555			Mir5046			NA
Interval_1682	chr18	49811984	49812403	+	0	NA	intron (1700065O20Rik, intron 1 of 4)	-intron (1700065O20Rik, intron 1 of 4)	5763	1700065O20Rik	1700065O20Rik	NR_045386			1700065O20Rik			NA
Interval_2753	chr18	74523798	74524029	+	0	NA	intron (1700120E14Rik, intron 2 of 3)	-intron (Myo5b, intron 1 of 38)	7211	1700120E14Rik	1700120E14Rik	NR_045368			1700120E14Rik			NA
Interval_4610	chr19	27099878	27100239	+	0	NA	Intergenic	Intergenic	-116962	Vldlr	Vldlr	NM_013703			Vldlr			NA
Interval_789	chr18	24258457	24259290	+	0	NA	intron (Galnt1, intron 5 of 12)	-intron (Galnt1, intron 5 of 12)	53529	Galnt1	Galnt1	NM_001160404			Galnt1			NA
Interval_135	chr18	5647577	5647924	+	0	NA	intron (Zeb1, intron 2 of 8)	-intron (Zeb1, intron 2 of 8)	-55313	Gm10125	Gm10125	NR_033552			Gm10125			NA
Interval_1993	chr18	58375588	58376463	+	0	NA	Intergenic	Intergenic	-166099	Fbn2	Fbn2	NM_010181			Fbn2			NA
Interval_5258	chr19	42128576	42129613	+	0	NA	promoter-TSS (Avpi1)	-promoter-TSS (Avpi1)	-101	Avpi1	Avpi1	NM_027106			Avpi1			NA
Interval_5928	chr19	55456181	55456478	+	0	NA	intron (Vti1a, intron 5 of 7)	-intron (Vti1a, intron 6 of 8)	140272	Vti1a	Vti1a	NM_001360431			Vti1a			NA
Interval_1014	chr18	33463235	33464564	+	0	NA	promoter-TSS (Nrep)	-promoter-TSS (Nrep)	-264	Gm10549	Gm10549	NR_045415			Gm10549			NA
Interval_3903	chr19	8953038	8954342	+	0	NA	promoter-TSS (Tut1)	-promoter-TSS (Tut1)	-142	Tut1	Tut1	NM_197993			Tut1			NA
Interval_5030	chr19	37424952	37425377	+	0	NA	Intergenic	Intergenic	-9677	Hhex	Hhex	NM_008245			Hhex			NA
Interval_157	chr18	6016001	6016424	+	0	NA	Intergenic	Intergenic	119886	Arhgap12	Arhgap12	NM_001039692			Arhgap12			NA
Interval_439	chr18	13109719	13110062	+	0	NA	Intergenic	Intergenic	102900	Hrh4	Hrh4	NM_153087			Hrh4			NA
Interval_2894	chr18	76204877	76205244	+	0	NA	Intergenic	Intergenic	34508	Mir6358	Mir6358	NR_105776			Mir6358			NA
Interval_6027	chr19	56669081	56669560	+	0	NA	Intergenic	Intergenic	-52797	Adrb1	Adrb1	NM_007419			Adrb1			NA
Interval_5048	chr19	37579663	37580015	+	0	NA	intron (Exoc6, intron 7 of 21)	-intron (Exoc6, intron 7 of 21)	29421	Exoc6	Exoc6	NM_175353			Exoc6			NA
Interval_6028	chr19	56689200	56689603	+	0	NA	Intergenic	Intergenic	-32716	Adrb1	Adrb1	NM_007419			Adrb1			NA
Interval_3169	chr18	82512115	82512370	+	0	NA	intron (Mbp, intron 2 of 6)	-intron (Mbp, intron 2 of 3)	37119	Mbp	Mbp	NM_001025245			Mbp			NA
Interval_5772	chr19	53103039	53103620	+	0	NA	Intergenic	Intergenic	27077	1700054A03Rik	1700054A03Rik	NR_045320			1700054A03Rik			NA
Interval_2877	chr18	76059372	76059769	+	0	NA	exon (Zbtb7c, exon 1 of 3)	-exon (Zbtb7c, exon 1 of 3)	38901	2900057B20Rik	2900057B20Rik	NR_045365			2900057B20Rik			NA
Interval_6161	chr19	58889776	58890050	+	0	NA	intron (Hspa12a, intron 2 of 12)	-intron (Hspa12a, intron 2 of 12)	21846	Mir3086	Mir3086	NR_037247			Mir3086			NA
Interval_2908	chr18	76542593	76543302	+	0	NA	Intergenic	Intergenic	301246	Smad2	Smad2	NM_001252481			Smad2			NA
Interval_1950	chr18	57386194	57387139	+	0	NA	intron (Prrc1, intron 8 of 8)	-intron (Prrc1, intron 8 of 8)	-18749	Gm19500	Gm19500	NR_152223			Gm19500			NA
Interval_2830	chr18	75464628	75465783	+	0	NA	intron (Ctif, intron 10 of 11)	-intron (Ctif, intron 10 of 11)	-49440	Gm10532	Gm10532	NR_045879			Gm10532			NA
Interval_3211	chr18	82867927	82868648	+	0	NA	Intergenic	Intergenic	12390	4930445N18Rik	4930445N18Rik	NR_125720			4930445N18Rik			NA
Interval_1426	chr18	41883433	41883791	+	0	NA	intron (Prelid2, intron 5 of 6)	-intron (Prelid2, intron 5 of 6)	67582	Prelid2	Prelid2	NM_029942			Prelid2			NA
Interval_3386	chr18	87764591	87764946	+	0	NA	Intergenic	Intergenic	1052703	Cbln2	Cbln2	NM_001361142			Cbln2			NA
Interval_2225	chr18	62734183	62734892	+	0	NA	intron (Spink13, intron 1 of 4)	-intron (Spink13, intron 1 of 4)	6850	Spink13	Spink13	NM_001168423			Spink13			NA
Interval_4023	chr19	10740648	10741437	+	0	NA	promoter-TSS (A430093F15Rik)	-promoter-TSS (A430093F15Rik)	95	A430093F15Rik	A430093F15Rik	NR_027805			A430093F15Rik			NA
Interval_3572	chr19	4711771	4712450	+	0	NA	intron (Sptbn2, intron 1 of 36)	-intron (Sptbn2, intron 1 of 36)	902	Sptbn2	Sptbn2	NM_021287			Sptbn2			NA
Interval_4397	chr19	22354021	22354477	+	0	NA	intron (Trpm3, intron 1 of 23)	-intron (Trpm3, intron 1 of 24)	-93959	Trpm3	Trpm3	NM_001362502			Trpm3			NA
Interval_4072	chr19	11927856	11928706	+	0	NA	intron (Patl1, intron 9 of 18)	-intron (Patl1, intron 9 of 18)	4553	Mir6994	Mir6994	NR_105960			Mir6994			NA
Interval_4045	chr19	11044847	11045793	+	0	NA	Intergenic	Intergenic	5246	AW112010	AW112010	NR_102366			AW112010			NA
Interval_578	chr18	18042253	18042647	+	0	NA	Intergenic	Intergenic	-461460	4930545E07Rik	4930545E07Rik	NR_045374			4930545E07Rik			NA
Interval_3100	chr18	80712459	80712720	+	0	NA	intron (Nfatc1, intron 1 of 9)	-intron (Nfatc1, intron 1 of 7)	482	Nfatc1	Nfatc1	NM_198429			Nfatc1			NA
Interval_3767	chr19	6839906	6841022	+	0	NA	intron (Rps6ka4, intron 1 of 17)	-intron (Rps6ka4, intron 1 of 17)	163	Rps6ka4	Rps6ka4	NM_019924			Rps6ka4			NA
Interval_115	chr18	5322197	5322450	+	0	NA	intron (Zfp438, intron 1 of 4)	-intron (Zfp438, intron 1 of 4)	12116	Zfp438	Zfp438	NM_178722			Zfp438			NA
Interval_3717	chr19	6226271	6226550	+	0	NA	promoter-TSS (Gpha2)	-promoter-TSS (Gpha2)	9	Gpha2	Gpha2	NM_130453			Gpha2			NA
Interval_3924	chr19	9874184	9874398	+	0	NA	exon (Incenp, exon 18 of 19)	-exon (Incenp, exon 18 of 19)	25198	Incenp	Incenp	NM_001369356			Incenp			NA
Interval_1934	chr18	56897621	56898671	+	0	NA	intron (Marchf3, intron 1 of 4)	-intron (Marchf3, intron 1 of 4)	27369	Marchf3	Marchf3	NM_001374227			Marchf3			NA
Interval_3258	chr18	83634097	83635105	+	0	NA	Intergenic	Intergenic	-308717	4921531P14Rik	4921531P14Rik	NR_045361			4921531P14Rik			NA
Interval_1585	chr18	46629295	46629675	+	0	NA	Intergenic	Intergenic	31781	Eif1a	Eif1a	NM_001374654			Eif1a			NA
Interval_5851	chr19	53801883	53802504	+	0	NA	intron (Rbm20, intron 1 of 13)	-intron (Rbm20, intron 1 of 13)	-90038	Pdcd4	Pdcd4	NM_001168492			Pdcd4			NA
Interval_3792	chr19	7070667	7070980	+	0	NA	intron (Macrod1, intron 3 of 10)	-intron (Macrod1, intron 3 of 10)	14055	Macrod1	Macrod1	NM_134147			Macrod1			NA
Interval_4358	chr19	21189949	21190264	+	0	NA	Intergenic	Intergenic	-82172	Zfand5	Zfand5	NM_009551			Zfand5			NA
Interval_1165	chr18	35848046	35848594	+	0	NA	intron (Cxxc5, intron 1 of 2)	-intron (Cxxc5, intron 1 of 2)	18532	Cxxc5	Cxxc5	NM_133687			Cxxc5			NA
Interval_3765	chr19	6831577	6831888	+	0	NA	intron (Rps6ka4, intron 12 of 17)	-intron (Rps6ka4, intron 12 of 17)	-1788	Mir5046	Mir5046	NR_039555			Mir5046			NA
Interval_329	chr18	11035436	11035918	+	0	NA	Intergenic	Intergenic	-16833	Gata6	Gata6	NM_010258			Gata6			NA
Interval_2545	chr18	69077726	69078423	+	0	NA	Intergenic	Intergenic	-55801	Mir145b	Mir145b	NR_105780			Mir145b			NA
Interval_3606	chr19	5067146	5068515	+	0	NA	promoter-TSS (Cd248)	-promoter-TSS (Cd248)	-248	Cd248	Cd248	NM_054042			Cd248			NA
Interval_3210	chr18	82863586	82863829	+	0	NA	Intergenic	Intergenic	7810	4930445N18Rik	4930445N18Rik	NR_125720			4930445N18Rik			NA
Interval_3602	chr19	5040995	5041744	+	0	NA	promoter-TSS (Brms1)	-promoter-TSS (Brms1)	6	Brms1	Brms1	NM_134155			Brms1			NA
Interval_2576	chr18	69547440	69548081	+	0	NA	intron (Tcf4, intron 6 of 19)	-intron (Tcf4, intron 6 of 19)	203268	Tcf4	Tcf4	NM_001361126			Tcf4			NA
Interval_2431	chr18	66703018	66703291	+	0	NA	Intergenic	Intergenic	157333	Mc4r	Mc4r	NM_016977			Mc4r			NA
Interval_1764	chr18	52941699	52942819	+	0	NA	Intergenic	Intergenic	116949	Gm51263	Gm51263	NM_001367923			Gm51263			NA
Interval_3966	chr19	10240291	10241080	+	0	NA	promoter-TSS (Myrf)	-promoter-TSS (Myrf)	63	Myrf	Myrf	NM_001033481			Myrf			NA
Interval_947	chr18	31621892	31622458	+	0	NA	Intergenic	Intergenic	-12193	Sap130	Sap130	NM_172965			Sap130			NA
Interval_895	chr18	28666669	28666895	+	0	NA	intron (4930474G06Rik, intron 2 of 4)	-intron (4930474G06Rik, intron 2 of 4)	106618	4930474G06Rik	4930474G06Rik	NR_045398			4930474G06Rik			NA
Interval_1721	chr18	50942811	50943064	+	0	NA	Intergenic	Intergenic	-174961	Prr16	Prr16	NM_001081224			Prr16			NA
Interval_6098	chr19	57648593	57649039	+	0	NA	intron (Atrnl1, intron 5 of 28)	-intron (Atrnl1, intron 5 of 28)	37782	Atrnl1	Atrnl1	NM_181415			Atrnl1			NA
Interval_223	chr18	7931401	7931714	+	0	NA	Intergenic	Intergenic	62360	Wac	Wac	NM_001360956			Wac			NA
Interval_3876	chr19	8722710	8723727	+	0	NA	promoter-TSS (Snhg1)	-promoter-TSS (Snhg1)	-269	Snhg1	Snhg1	NR_002896			Snhg1			NA
Interval_5370	chr19	44377996	44378593	+	0	NA	Intergenic	Intergenic	29415	Scd1	Scd1	NM_009127			Scd1			NA
Interval_3891	chr19	8857528	8857949	+	0	NA	Intergenic	Intergenic	6970	Lrrn4cl	Lrrn4cl	NM_001013019			Lrrn4cl			NA
Interval_5159	chr19	40708176	40708478	+	0	NA	intron (Entpd1, intron 1 of 9)	-intron (Entpd1, intron 1 of 9)	48557	Entpd1	Entpd1	NM_009848			Entpd1			NA
Interval_2197	chr18	62037037	62037256	+	0	NA	Intergenic	Intergenic	84071	Sh3tc2	Sh3tc2	NM_172628			Sh3tc2			NA
Interval_920	chr18	30487193	30488034	+	0	NA	Intergenic	Intergenic	214748	Pik3c3	Pik3c3	NR_151699			Pik3c3			NA
Interval_2557	chr18	69343891	69344727	+	0	NA	promoter-TSS (Tcf4)	-promoter-TSS (Tcf4)	-183	Tcf4	Tcf4	NM_001361126			Tcf4			NA
Interval_4519	chr19	24899894	24900647	+	0	NA	exon (Foxd4, exon 1 of 1)	-exon (Foxd4, exon 1 of 1)	1039	Foxd4	Foxd4	NM_008022			Foxd4			NA
